"","mmwr_year","mmwr_week","mmwr_day","week_start","state","pred","lpi","upi","obs","unexplained.cases","denom","week_end"
"1",2015,42,1,2015-10-18,"AK",4,1,8,6,2,75.5,2015-10-24
"2",2015,42,1,2015-10-18,"AL",42,29.975,55,43,1,794.5,2015-10-24
"3",2015,42,1,2015-10-18,"AR",40,28,54,50,10,582.5,2015-10-24
"4",2015,42,1,2015-10-18,"AZ",49,36,64,49,0,943.5,2015-10-24
"5",2015,42,1,2015-10-18,"CA",297,263,333,325,28,4578.5,2015-10-24
"6",2015,42,1,2015-10-18,"CO",34,23,46,36,2,665.5,2015-10-24
"7",2015,42,1,2015-10-18,"DC",7,2,13,6,-1,129.5,2015-10-24
"8",2015,42,1,2015-10-18,"DE",9,4,16,10,1,172.5,2015-10-24
"9",2015,42,1,2015-10-18,"FL",187,160,215,184,-3,3599.5,2015-10-24
"10",2015,42,1,2015-10-18,"GA",74,58,92,83,9,1515.5,2015-10-24
"11",2015,42,1,2015-10-18,"HI",16,9,25,18,2,177.5,2015-10-24
"12",2015,42,1,2015-10-18,"IA",36,25,49,34,-2,543.5,2015-10-24
"13",2015,42,1,2015-10-18,"ID",12,6,20,18,6,253.5,2015-10-24
"14",2015,42,1,2015-10-18,"IL",121,99,143,136,15,2001.5,2015-10-24
"15",2015,42,1,2015-10-18,"IN",75,58,93,74,-1,1169.5,2015-10-24
"16",2015,42,1,2015-10-18,"KS",33,22,46,38,5,523.5,2015-10-24
"17",2015,42,1,2015-10-18,"KY",63,48,80,61,-2,885.5,2015-10-24
"18",2015,42,1,2015-10-18,"LA",36,24,48,38,2,829.5,2015-10-24
"19",2015,42,1,2015-10-18,"MA",73,57,92,79,6,1082.5,2015-10-24
"20",2015,42,1,2015-10-18,"MD",53,39,68,56,3,872.5,2015-10-24
"21",2015,42,1,2015-10-18,"ME",14,7,22,16,2,268.5,2015-10-24
"22",2015,42,1,2015-10-18,"MI",106,86,128,117,11,1826.5,2015-10-24
"23",2015,42,1,2015-10-18,"MN",44,31,58,35,-9,746.5,2015-10-24
"24",2015,42,1,2015-10-18,"MO",68,52,85.0249999999996,73,5,1198.5,2015-10-24
"25",2015,42,1,2015-10-18,"MS",36,25,49,32,-4,572.5,2015-10-24
"26",2015,42,1,2015-10-18,"MT",9,4,16,8,-1,186.5,2015-10-24
"27",2015,42,1,2015-10-18,"ND",10,4,17,15,5,121.5,2015-10-24
